iter	MultiClass
0	1.20962249
1	1.061785438
2	0.9410363625
3	0.8494348577
4	0.7758640542
5	0.7077533225
6	0.6559506773
7	0.6046583114
8	0.5570156755
9	0.5112200019
10	0.471664589
11	0.4379840085
12	0.4106963503
13	0.3825679609
14	0.3581323527
15	0.3360031146
16	0.3164680207
17	0.2998629306
18	0.2828148366
19	0.2677807338
20	0.2544321645
21	0.2419554552
22	0.2298187083
23	0.2200778773
24	0.2112807694
25	0.2022111188
26	0.1919056111
27	0.1841008499
28	0.1752665925
29	0.1689657998
30	0.1619267187
31	0.15508498
32	0.149750965
33	0.1459806519
34	0.1407550093
35	0.1357346056
36	0.1311528767
37	0.1267432654
38	0.122760448
39	0.1189192513
40	0.1148798313
41	0.1112136243
42	0.1077070145
43	0.1049540996
44	0.1027235939
45	0.09921914747
46	0.09683167948
47	0.09463686477
48	0.09168419702
49	0.08931060584
50	0.08663636305
51	0.08440297507
52	0.08161044477
53	0.07979889385
54	0.07753524412
55	0.0756075675
56	0.07364652055
57	0.07197632603
58	0.07044955379
59	0.06860487582
60	0.06718231455
61	0.06573960556
62	0.06452687695
63	0.06337733366
64	0.06205913709
65	0.06069128585
66	0.05930507215
67	0.05810795481
68	0.0569242156
69	0.0558413124
70	0.05467770259
71	0.05380776581
72	0.05272466752
73	0.05157888738
74	0.05030062554
75	0.04949355826
76	0.04846616741
77	0.04770446933
78	0.04683702431
79	0.04578581851
80	0.04485234116
81	0.04405560806
82	0.04337823592
83	0.04268110826
84	0.04196220274
85	0.04095336794
86	0.04017916874
87	0.03941639743
88	0.03861487255
89	0.0378490113
90	0.03726697553
91	0.03667196325
92	0.03608665155
93	0.03558737867
94	0.0350467313
95	0.03432699004
96	0.03383237084
97	0.03319190326
98	0.03268070343
99	0.03215536258
100	0.03168423715
101	0.03124080978
102	0.03075646398
103	0.0303667032
104	0.02996847105
105	0.02950538466
106	0.02918581701
107	0.02871801217
108	0.02830911378
109	0.0278963617
110	0.02750660159
111	0.02698874171
112	0.02671537347
113	0.02633942824
114	0.02590394026
115	0.02556816858
116	0.02523181856
117	0.02483441357
118	0.02438206099
119	0.02405114136
120	0.02366111505
121	0.02324722935
122	0.02287271737
123	0.02252284478
124	0.02219597314
125	0.02195157256
126	0.02170148884
127	0.02140543275
128	0.021057381
129	0.02092672332
130	0.02073496328
131	0.02050989808
132	0.02022994559
133	0.01996442758
134	0.01973897983
135	0.0195205943
136	0.01938728341
137	0.0191483907
138	0.01890228175
139	0.01867344775
140	0.0184528458
141	0.01825619103
142	0.01808833223
143	0.01788576598
144	0.0177729865
145	0.01762904177
146	0.01735713706
147	0.01712243259
148	0.01694750208
149	0.0167475787
